Dell_product,Dell_price,Newegg_price,Deviation,Status
Dell 27 Inch USB-C Hub Computer Monitor - P2723DE,519.99,379.99,-26.923594684513162,Non-Compliant
Dell UltraSharp 27 Monitor - U2724D,509.99,426.12,-16.445420498441145,Non-Compliant
Dell 22 Monitor - P2222H,214.99,185.12,-13.893669472998745,Non-Compliant
Dell UltraSharp 24 Monitor - U2424H,379.99,340.12,-10.49238137845733,Non-Compliant
Dell 27 Monitor – E2723H,199.99,182.42,-8.78543927196361,Needs Attention
Dell 24 Video Conferencing Monitor - C2423H,289.99,279.22,-3.713921169695501,Needs Attention
Dell 27 Monitor - E2724HS,199.99,192.82,-3.585179258962956,Needs Attention
Dell 27 Monitor - P2723D,469.99,456.32,-2.9085725228196377,Needs Attention
Dell UltraSharp 27 4K USB-C Hub Monitor - U2723QE,779.99,757.62,-2.867985486993424,Needs Attention
Dell 24 Monitor - P2423D,419.99,408.42,-2.7548274958927577,Needs Attention
Dell UltraSharp 32 4K USB-C Hub Monitor - U3223QE,1159.99,1136.55,-2.020707075060997,Needs Attention
Dell UltraSharp 24 USB-C® Hub Monitor - U2424HE,449.99,443.72,-1.3933642969843734,Needs Attention
Dell 22 Monitor – E2223HN,134.99,133.32,-1.2371286761982487,Needs Attention
Dell 24 USB-C Hub Monitor - P2423DE,489.99,484.32,-1.1571664727851623,Needs Attention
Dell 24 Monitor - E2424HS,179.99,178.72,-0.705594755264187,Needs Attention
Dell 32 4K USB-C Hub Monitor - P3223QE,699.99,696.82,-0.45286361233731326,Needs Attention
Dell 27 Video Conferencing Monitor - P2724DEB,659.99,657.99,-0.303034894468098,Needs Attention
Dell UltraSharp 40 Curved WUHD Monitor - U4021QW,2399.99,2398.22,-0.07375030729294631,Needs Attention
Dell 24 Monitor - P2422H,249.99,249.99,0.0,Compliant
Dell 27 Monitor - P2725H,309.99,311.22,0.39678699312881643,Compliant
Dell 32 USB-C Hub Monitor – P3223DE,579.99,583.99,0.689667063225228,Compliant
Dell 24 USB-C Hub Monitor - P2422HE,349.99,353.22,0.9228835109574611,Compliant
Dell 34 Curved Monitor - P3424WE,909.99,921.22,1.2340794953790721,Compliant
Dell UltraSharp 27 4K PremierColor Monitor: UP2720Q,1649.99,1691.55,2.518803144261477,Compliant
Dell UltraSharp 27 Thunderbolt™ Hub Monitor - U2724DE,654.99,678.92,3.6534908929907255,Compliant
"Dell 14"" Portable Travel Monitor - P1424H",344.99,363.55,5.379866083074872,Compliant
Dell 27 4K USB-C Hub Monitor - P2723QE,609.99,647.02,6.070591321169195,Compliant
Dell 22 Monitor - E2222HS,159.99,169.99,6.250390649415588,Compliant
Dell UltraSharp 32 4K HDR Monitor - UP3221Q,4759.99,5093.3,7.002325635137898,Compliant
Dell 24 Touch USB-C Hub Monitor - P2424HT,549.99,590.99,7.454680994199895,Compliant
Dell 27 USB-C® Hub Monitor - P2725HE,374.99,411.55,9.7495933224886,Compliant
Dell UltraSharp 43 4K USB-C Hub Monitor - U4323QE,1094.99,1224.99,11.872254541137362,Compliant
Dell 22 Monitor - SE2222H,119.99,138.42,15.359613301108421,Compliant
Dell UltraSharp 32 4K Video Conferencing Monitor - U3223QZ,1464.99,1705.99,16.450624236342907,Compliant
Alienware 25 Gaming Monitor - AW2523HF,499.99,624.99,25.0005000100002,Compliant
Dell 27 USB-C Monitor - S2722DC,399.99,499.99,25.00062501562539,Compliant
Dell 34 Curved Monitor - S3422DW,399.99,530.99,32.75081877046926,Compliant
Dell 34 Curved Gaming Monitor – S3422DWG,499.99,742.39,48.48096961939238,Compliant
Alienware 27 Gaming Monitor - AW2724DM,399.99,624.99,56.251406285157124,Compliant
Dell 27 Monitor - SE2722H,119.99,189.99,58.33819484957081,Compliant
Dell 34 Curved USB-C Monitor – S3423DWC,449.99,767.99,70.66823707193493,Compliant
Dell 27 4K UHD Monitor - S2721QS,299.99,560.28,86.76622554085135,Compliant
