Dell_product,Dell_price,Newegg_price,Deviation,Status
Dell UltraSharp 27 Monitor - U2724D,509.99,467.99,-8.23545559716857,Needs Attention
Dell 24 Video Conferencing Monitor - C2423H,289.99,279.22,-3.713921169695501,Needs Attention
Dell 24 Monitor - P2423D,419.99,408.42,-2.7548274958927577,Needs Attention
Dell 27 Video Conferencing Monitor - P2724DEB,659.99,657.99,-0.303034894468098,Needs Attention
Dell UltraSharp 40 Curved WUHD Monitor - U4021QW,2399.99,2398.22,-0.07375030729294631,Needs Attention
Dell UltraSharp 24 USB-C® Hub Monitor - U2424HE,449.99,451.22,0.27333940754239383,Compliant
Dell 27 Monitor - P2725H,309.99,311.22,0.39678699312881643,Compliant
Dell 27 Monitor - P2723D,469.99,473.22,0.6872486648652137,Compliant
Dell 32 USB-C Hub Monitor – P3223DE,579.99,583.99,0.689667063225228,Compliant
Dell 24 USB-C Hub Monitor - P2422HE,349.99,353.22,0.9228835109574611,Compliant
Dell 22 Monitor - P2222H,204.99,206.99,0.9756573491389824,Compliant
Dell 22 Monitor – E2223HN,134.99,138.22,2.39276983480257,Compliant
Dell UltraSharp 27 4K PremierColor Monitor: UP2720Q,1649.99,1691.55,2.518803144261477,Compliant
Dell 27 USB-C® Hub Monitor - P2725HE,399.99,411.55,2.890072251806296,Compliant
Dell 24 Touch USB-C Hub Monitor - P2424HT,549.99,567.55,3.1927853233695056,Compliant
Dell UltraSharp 32 4K USB-C Hub Monitor - U3223QE,1089.99,1136.55,4.271598822007537,Compliant
Dell 24 USB-C Hub Monitor - P2423DE,489.99,513.99,4.898059144064164,Compliant
"Dell 14"" Portable Travel Monitor - P1424H",344.99,363.55,5.379866083074872,Compliant
Dell UltraSharp 24 Monitor - U2424H,379.99,401.99,5.7896260427906,Compliant
Dell 22 Monitor - E2222HS,159.99,169.99,6.250390649415588,Compliant
Dell 24 Monitor - P2422H,234.99,249.99,6.383250351078769,Compliant
Dell 27 4K USB-C Hub Monitor - P2723QE,609.99,651.22,6.7591271988065404,Compliant
Dell UltraSharp 32 4K HDR Monitor - UP3221Q,4759.99,5093.3,7.002325635137898,Compliant
Dell 27 Monitor – E2723H,199.99,215.99,8.000400020001,Compliant
Dell UltraSharp 27 4K USB-C Hub Monitor - U2723QE,729.99,789.99,8.219290675214728,Compliant
Dell UltraSharp 27 Thunderbolt™ Hub Monitor - U2724DE,654.99,723.99,10.534511977282095,Compliant
Dell UltraSharp 43 4K USB-C Hub Monitor - U4323QE,1094.99,1224.99,11.872254541137362,Compliant
Dell 32 4K USB-C Hub Monitor - P3223QE,619.99,705.22,13.746995919289024,Compliant
Dell 27 Monitor - E2724HS,199.99,228.99,14.500725036251813,Compliant
Dell 24 Monitor - E2424HS,179.99,208.99,16.11200622256792,Compliant
Dell UltraSharp 32 4K Video Conferencing Monitor - U3223QZ,1464.99,1705.99,16.450624236342907,Compliant
Alienware 27 Gaming Monitor - AW2724DM,499.99,624.99,25.0005000100002,Compliant
Dell 27 USB-C Monitor - S2722DC,399.99,499.99,25.00062501562539,Compliant
Dell 34 Curved USB-C Monitor – S3423DWC,579.99,767.99,32.41435197158572,Compliant
Dell 34 Curved Monitor - S3422DW,399.99,530.99,32.75081877046926,Compliant
Alienware 25 Gaming Monitor - AW2523HF,449.99,624.99,38.88975310562457,Compliant
Dell 27 Monitor - SE2722H,119.99,189.99,58.33819484957081,Compliant
Dell 34 Curved Gaming Monitor – S3422DWG,449.99,742.39,64.97922176048357,Compliant
Dell 22 Monitor - SE2222H,89.99,152.99,70.00777864207136,Compliant
Dell 27 4K UHD Monitor - S2721QS,299.99,560.28,86.76622554085135,Compliant
